refund_id,order_id,refund_date,refund_amount,reason
197,54363,2023-12-23,38.03,Defective
198,9418,2023-11-03,174.45,Defective
199,36687,2023-10-02,69.91,Defective
200,25305,2023-09-05,75.02,Wrong Item
201,29240,2023-06-02,117.71,Defective
202,46734,2023-10-24,155.2,Wrong Item
203,45133,2023-09-25,117.34,Defective
204,8507,2023-09-30,54.18,Defective
205,35360,2023-12-02,153.76,Changed Mind
206,19748,2023-09-22,62.43,Wrong Item
207,20423,2023-07-28,114.3,Changed Mind
208,56226,2023-07-15,13.83,Defective
209,9574,2023-07-26,73.47,Wrong Item
210,10480,2023-06-28,143.22,Defective
211,51538,2023-01-31,193.91,Wrong Item
212,34035,2023-02-18,38.9,Changed Mind
213,1160,2023-04-17,155.1,Changed Mind
214,43266,2023-09-27,156.18,Wrong Item
215,14085,2023-01-10,78.94,Wrong Item
216,42015,2023-11-25,95.42,Wrong Item
217,52993,2023-09-13,132.04,Changed Mind
218,4602,2023-01-09,71.07,Wrong Item
219,42421,2023-01-13,186.43,Changed Mind
220,53519,2023-07-22,181.46,Wrong Item
221,17099,2023-03-08,188.61,Wrong Item
222,7095,2023-04-08,54.75,Changed Mind
223,10318,2023-06-28,129.74,Wrong Item
224,27509,2023-03-24,46.06,Wrong Item
225,54445,2023-11-26,87.19,Wrong Item
226,54647,2023-01-18,122.59,Changed Mind
227,60511,2023-12-16,100.21,Changed Mind
228,54097,2023-05-31,154.13,Changed Mind
229,26525,2023-06-13,83.43,Wrong Item
230,1153,2023-01-24,146.03,Defective
231,11998,2023-01-22,110.35,Defective
232,3365,2023-03-16,62.99,Defective
233,49094,2023-04-02,187.96,Wrong Item
234,15655,2023-06-20,50.99,Changed Mind
235,21483,2023-11-09,169.09,Changed Mind
236,41238,2023-04-20,39.78,Wrong Item
237,7308,2023-09-03,15.91,Wrong Item
238,34713,2023-10-15,52.02,Defective
239,56735,2023-07-04,29.52,Wrong Item
240,40004,2023-09-21,43.12,Defective
241,58475,2023-01-17,65.51,Changed Mind
242,15801,2023-09-25,115.69,Wrong Item
243,9920,2023-11-28,135.6,Changed Mind
244,18465,2023-07-21,125.56,Defective
245,18676,2023-04-19,20.39,Wrong Item
246,53677,2023-11-22,174.39,Defective
247,15744,2023-06-03,33.13,Wrong Item
248,40853,2023-07-15,132.76,Defective
249,22804,2023-01-05,137.05,Wrong Item
250,15647,2023-08-09,155.67,Defective
251,1379,2023-05-17,150.54,Changed Mind
252,50086,2023-05-14,199.6,Changed Mind
253,35106,2023-07-15,109.23,Wrong Item
254,6604,2023-01-10,184.55,Defective
255,60141,2023-03-10,199.05,Defective
256,22330,2023-04-28,196.96,Changed Mind
257,56080,2023-02-02,68.35,Defective
258,49441,2023-05-30,124.99,Changed Mind
259,13253,2023-10-11,25.9,Defective
260,36081,2023-11-22,86.46,Wrong Item
261,1978,2023-02-09,94.41,Wrong Item
262,54777,2023-12-09,11.23,Changed Mind
263,5261,2023-03-21,101.76,Wrong Item
264,18265,2023-03-26,65.26,Changed Mind
265,31219,2023-07-04,121.4,Defective
266,11712,2023-06-29,107.07,Changed Mind
267,54043,2023-11-21,40.34,Wrong Item
268,16558,2023-12-01,193.62,Defective
269,8232,2023-04-09,169.25,Wrong Item
270,55394,2023-08-09,63.99,Defective
271,12851,2023-02-21,40.49,Changed Mind
272,40025,2023-08-19,147.61,Wrong Item
273,42311,2023-01-04,99.97,Changed Mind
274,19345,2023-04-28,21.62,Changed Mind
275,18630,2023-07-23,191.81,Changed Mind
276,19344,2023-12-11,180.82,Wrong Item
277,51377,2023-10-26,129.99,Wrong Item
278,42006,2023-10-24,66.52,Defective
279,22371,2023-05-13,151.04,Defective
280,20298,2023-03-14,162.09,Changed Mind
281,20582,2023-09-26,136.42,Wrong Item
282,34799,2023-01-27,96.3,Wrong Item
283,26441,2023-06-15,50.82,Defective
284,52806,2023-03-28,183.57,Changed Mind
285,34987,2023-03-03,182.79,Defective
286,39729,2023-03-07,64.59,Defective
287,58657,2023-01-02,196.95,Wrong Item
288,14286,2023-09-09,34.68,Changed Mind
289,60307,2023-03-08,169.44,Changed Mind
290,47403,2023-02-27,119.04,Changed Mind
291,22106,2023-10-14,86.47,Wrong Item
292,34005,2023-09-28,131.4,Defective
293,47138,2023-04-11,90.44,Defective
294,50986,2023-12-17,127.31,Wrong Item
295,21488,2023-06-28,162.15,Changed Mind
296,27529,2023-05-18,142.23,Defective
297,47474,2023-08-09,27.23,Changed Mind
298,49139,2023-05-22,72.72,Wrong Item
299,48335,2023-05-25,186.2,Defective
300,37646,2023-10-07,109.69,Defective
301,48564,2023-04-06,199.71,Changed Mind
302,56101,2023-06-27,180.03,Wrong Item
303,43040,2023-04-26,98.69,Changed Mind
304,9879,2023-09-21,183.1,Wrong Item
305,50889,2023-03-13,97.21,Wrong Item
306,9036,2023-11-07,30.56,Defective
307,51608,2023-11-14,75.08,Wrong Item
308,2368,2023-08-16,41.86,Changed Mind
309,49353,2023-04-09,161.78,Wrong Item
310,28056,2023-10-17,86.12,Defective
311,54192,2023-04-26,82.91,Changed Mind
312,41393,2023-04-01,17.5,Wrong Item
313,29678,2023-08-15,165.66,Wrong Item
314,37242,2023-12-06,13.73,Changed Mind
315,18793,2023-03-16,86.69,Defective
316,48194,2023-10-13,134.94,Changed Mind
317,21297,2023-11-06,22.4,Changed Mind
318,37276,2023-04-17,68.38,Changed Mind
319,52337,2023-10-02,150.93,Defective
320,13271,2023-05-15,34.93,Changed Mind
321,18525,2023-04-10,14.14,Wrong Item
322,29800,2023-11-29,129.93,Changed Mind
323,4969,2023-03-22,89.63,Wrong Item
324,17987,2023-08-30,117.15,Wrong Item
325,37727,2023-09-16,82.18,Wrong Item
326,42017,2023-12-18,72.69,Changed Mind
327,41531,2023-08-02,92.0,Defective
328,52700,2023-11-02,38.06,Wrong Item
329,12571,2023-01-26,163.37,Defective
330,24618,2023-05-29,181.24,Wrong Item
331,42120,2023-12-19,193.27,Changed Mind
332,33059,2023-07-13,73.58,Defective
333,28806,2023-10-31,129.88,Wrong Item
334,49384,2023-03-29,32.33,Wrong Item
335,52976,2023-08-28,22.66,Changed Mind
336,49583,2023-04-04,195.88,Changed Mind
337,4979,2023-09-03,45.51,Defective
338,48222,2023-04-22,64.08,Changed Mind
339,27889,2023-08-08,70.93,Defective
340,8219,2023-08-24,38.91,Wrong Item
341,22230,2023-03-28,177.54,Defective
342,53815,2023-04-22,107.7,Defective
343,1145,2023-06-30,177.76,Wrong Item
344,30858,2023-06-22,186.85,Wrong Item
345,47167,2023-08-02,61.0,Defective
346,36602,2023-01-26,151.02,Defective
347,59350,2023-03-25,124.98,Wrong Item
348,55154,2023-12-11,188.58,Defective
349,2455,2023-09-21,139.36,Wrong Item
350,44764,2023-05-20,57.32,Wrong Item
351,55755,2023-04-09,11.02,Defective
352,54806,2023-02-18,125.68,Wrong Item
353,10734,2023-04-18,115.46,Changed Mind
354,35684,2023-09-06,57.66,Defective
355,1424,2023-03-27,188.35,Wrong Item
356,8011,2023-06-12,153.99,Changed Mind
357,34048,2023-08-08,185.69,Changed Mind
358,38429,2023-08-20,196.74,Defective
359,51558,2023-05-10,132.07,Changed Mind
360,28956,2023-03-13,23.14,Changed Mind
361,10444,2023-09-10,196.34,Defective
362,49549,2023-08-12,81.05,Changed Mind
363,22849,2023-12-09,20.73,Defective
364,10979,2023-08-31,181.68,Changed Mind
365,35308,2023-01-21,142.97,Wrong Item
366,41265,2023-04-14,108.39,Defective
367,16356,2023-01-19,160.19,Defective
368,12775,2023-05-19,148.68,Defective
369,14006,2023-09-21,135.36,Wrong Item
370,30436,2023-06-05,91.71,Wrong Item
371,8261,2023-10-26,88.02,Changed Mind
372,41327,2023-09-27,163.19,Defective
373,57112,2023-07-25,79.03,Defective
374,52912,2023-10-28,146.3,Changed Mind
375,42070,2023-11-18,139.19,Wrong Item
376,38277,2023-10-01,138.54,Changed Mind
377,7339,2023-02-01,124.87,Changed Mind
378,56954,2023-09-29,133.92,Defective
379,53211,2023-12-21,187.61,Wrong Item
380,28686,2023-07-12,103.97,Defective
381,10949,2023-05-10,170.06,Defective
382,12364,2023-04-30,189.08,Wrong Item
383,46919,2023-02-04,139.34,Defective
384,29242,2023-05-29,52.26,Changed Mind
385,57443,2023-10-27,40.27,Changed Mind
386,60424,2023-02-08,109.68,Wrong Item
387,52290,2023-01-21,194.6,Changed Mind
388,56565,2023-07-04,62.21,Wrong Item
389,41362,2023-12-20,149.15,Changed Mind
390,21228,2023-10-03,140.35,Defective
391,36225,2023-03-23,98.64,Changed Mind
392,26378,2023-05-26,112.5,Defective
393,18058,2023-03-03,147.91,Wrong Item
394,31179,2023-12-04,126.17,Defective
395,46627,2023-06-21,44.16,Defective
396,51015,2023-03-18,83.34,Wrong Item
397,18730,2023-01-16,115.66,Defective
398,24276,2023-11-29,140.72,Wrong Item
399,2810,2023-06-15,75.41,Wrong Item
400,35156,2023-12-10,55.57,Wrong Item
401,16767,2023-07-04,82.32,Defective
402,53726,2023-08-01,168.7,Changed Mind
403,14244,2023-04-18,139.7,Changed Mind
404,20113,2023-05-09,196.93,Wrong Item
405,37880,2023-07-20,91.95,Defective
406,10418,2023-10-15,180.09,Wrong Item
407,34905,2023-06-24,193.92,Changed Mind
408,52915,2023-07-28,90.46,Changed Mind
409,54811,2023-04-24,87.45,Defective
410,9717,2023-08-07,62.27,Defective
411,45478,2023-06-13,98.48,Wrong Item
412,24692,2023-02-11,152.87,Defective
413,57842,2023-08-20,134.81,Changed Mind
414,36240,2023-04-05,191.85,Wrong Item
415,12876,2023-11-18,88.75,Changed Mind
416,26434,2023-09-11,35.18,Defective
417,28618,2023-06-18,155.87,Wrong Item
418,31552,2023-07-31,168.32,Defective
419,35198,2023-11-21,156.11,Wrong Item
420,21814,2023-02-13,116.85,Wrong Item
421,52005,2023-01-18,30.08,Defective
422,4622,2023-05-20,166.39,Wrong Item
423,4621,2023-08-15,114.41,Changed Mind
424,24137,2023-03-17,192.48,Changed Mind
425,48541,2023-08-24,188.16,Defective
426,12797,2023-05-07,42.36,Changed Mind
427,2150,2023-07-05,69.15,Defective
428,11217,2023-04-01,122.39,Changed Mind
429,56264,2023-04-27,25.21,Defective
430,33537,2023-02-17,144.59,Defective
431,43873,2023-07-09,161.3,Wrong Item
432,24371,2023-07-31,57.61,Changed Mind
433,3974,2023-12-03,87.79,Wrong Item
434,46608,2023-12-01,191.18,Defective
435,9431,2023-11-18,181.23,Changed Mind
436,51628,2023-08-31,129.79,Changed Mind
437,52439,2023-10-17,115.57,Changed Mind
438,32363,2023-05-23,29.24,Defective
439,18071,2023-08-24,197.27,Changed Mind
440,7473,2023-03-02,135.7,Defective
441,37595,2023-07-11,43.44,Defective
442,8325,2023-09-22,91.57,Changed Mind
443,11404,2023-10-28,155.97,Defective
444,5772,2023-03-27,110.4,Defective
445,23366,2023-07-28,64.05,Changed Mind
446,40300,2023-05-08,48.39,Wrong Item
447,53258,2023-03-21,157.62,Defective
448,17826,2023-03-09,195.47,Changed Mind
449,48412,2023-12-23,14.24,Wrong Item
450,54718,2023-05-12,102.55,Changed Mind
451,4720,2023-06-02,168.6,Changed Mind
452,9751,2023-10-23,135.19,Defective
453,31104,2023-06-08,114.32,Wrong Item
454,11896,2023-04-27,12.47,Wrong Item
455,50847,2023-05-31,190.81,Wrong Item
456,32181,2023-09-26,121.39,Wrong Item
457,13157,2023-04-22,63.36,Defective
458,53257,2023-05-02,61.83,Wrong Item
459,55099,2023-08-02,27.24,Wrong Item
460,29944,2023-04-23,59.92,Defective
461,23754,2023-01-18,53.8,Changed Mind
462,31820,2023-09-10,110.41,Wrong Item
463,8622,2023-11-28,125.56,Wrong Item
464,1841,2023-08-08,75.26,Wrong Item
465,51658,2023-02-24,59.61,Defective
466,44124,2023-07-22,187.52,Changed Mind
467,48810,2023-06-29,124.6,Defective
468,54326,2023-06-05,28.14,Defective
469,19245,2023-06-08,179.85,Defective
470,4153,2023-04-27,37.94,Wrong Item
471,55387,2023-12-08,68.31,Changed Mind
472,55720,2023-10-13,184.55,Wrong Item
473,28554,2023-11-18,196.84,Defective
474,21901,2023-12-02,77.54,Defective
475,37755,2023-02-18,124.62,Changed Mind
476,57332,2023-02-04,50.64,Defective
477,24943,2023-06-03,64.7,Changed Mind
478,31723,2023-10-21,184.03,Changed Mind
479,14540,2023-10-24,95.45,Wrong Item
480,38836,2023-09-20,197.14,Defective
481,18335,2023-10-21,102.36,Changed Mind
482,59136,2023-10-21,29.56,Wrong Item
483,37830,2023-02-19,83.42,Changed Mind
484,40759,2023-05-05,131.55,Defective
485,15493,2023-12-13,181.38,Wrong Item
486,35690,2023-01-27,161.06,Defective
487,45381,2023-01-05,81.86,Wrong Item
488,51189,2023-05-21,49.36,Changed Mind
489,21054,2023-12-23,153.67,Defective
490,2588,2023-02-23,151.0,Changed Mind
491,38508,2023-06-19,68.7,Changed Mind
492,36187,2023-09-30,146.12,Defective
493,14018,2023-03-13,86.91,Changed Mind
494,20492,2023-04-14,116.18,Defective
495,43950,2023-12-20,25.37,Defective
496,47062,2023-08-12,46.21,Defective
497,38016,2023-12-07,47.45,Defective
498,5291,2023-04-24,67.57,Wrong Item
499,42065,2023-02-23,14.59,Changed Mind
500,26630,2023-09-27,50.3,Changed Mind
501,15449,2023-06-24,83.43,Defective
502,36041,2023-09-24,93.99,Wrong Item
503,22165,2023-02-18,127.29,Defective
504,60531,2023-09-11,48.8,Defective
505,6664,2023-08-15,59.27,Changed Mind
506,45940,2023-09-05,156.34,Changed Mind
507,28450,2023-01-28,147.22,Changed Mind
508,37688,2023-03-12,140.97,Changed Mind
509,17995,2023-11-16,111.56,Changed Mind
510,41072,2023-11-23,78.5,Changed Mind
511,20042,2023-12-18,41.02,Defective
512,26589,2023-12-23,115.53,Defective
513,10058,2023-04-10,107.95,Wrong Item
514,59248,2023-04-04,156.77,Defective
515,44111,2023-04-05,147.91,Wrong Item
516,60084,2023-07-16,127.33,Changed Mind
517,35033,2023-11-18,155.88,Defective
518,52296,2023-08-06,147.78,Changed Mind
519,17901,2023-05-16,40.23,Changed Mind
520,42432,2023-07-24,163.82,Defective
521,31994,2023-01-20,42.54,Wrong Item
522,23087,2023-02-03,139.78,Defective
523,11109,2023-10-05,140.12,Changed Mind
524,43393,2023-06-27,87.24,Changed Mind
525,56376,2023-05-18,11.75,Changed Mind
526,44475,2023-09-12,182.88,Changed Mind
527,25428,2023-07-31,139.45,Defective
528,31308,2023-01-20,173.17,Changed Mind
529,43289,2023-02-18,55.23,Defective
530,23084,2023-08-28,56.25,Changed Mind
531,7765,2023-09-17,199.81,Wrong Item
532,14384,2023-04-11,134.18,Wrong Item
533,2548,2023-12-31,123.57,Wrong Item
534,30329,2023-03-07,177.78,Changed Mind
535,36733,2023-02-11,75.82,Wrong Item
536,16799,2023-06-09,116.48,Defective
537,35903,2023-11-26,16.11,Defective
538,31246,2023-08-05,33.6,Wrong Item
539,23224,2023-02-05,177.97,Changed Mind
540,13433,2023-12-23,23.44,Wrong Item
541,58553,2023-08-01,159.53,Changed Mind
542,47700,2023-11-11,18.54,Changed Mind
543,25903,2023-02-07,118.24,Changed Mind
544,57144,2023-03-07,77.22,Changed Mind
545,38556,2023-12-04,43.66,Changed Mind
546,35693,2023-04-13,176.5,Wrong Item
547,2516,2023-03-06,170.87,Changed Mind
548,28764,2023-10-26,127.23,Wrong Item
549,36454,2023-05-26,29.92,Wrong Item
550,26868,2023-07-20,91.55,Changed Mind
551,50319,2023-12-11,16.75,Changed Mind
552,33796,2023-01-11,167.74,Wrong Item
553,55977,2023-07-20,106.02,Changed Mind
554,53400,2023-01-13,138.02,Changed Mind
555,30445,2023-05-05,172.99,Wrong Item
556,27012,2023-03-25,140.73,Wrong Item
557,55419,2023-09-04,139.91,Changed Mind
558,53460,2023-11-19,139.97,Changed Mind
559,9102,2023-07-09,155.28,Defective
560,41043,2023-06-04,62.77,Changed Mind
561,27198,2023-07-20,153.05,Changed Mind
562,24000,2023-01-01,17.56,Changed Mind
563,48931,2023-11-03,120.32,Defective
564,40574,2023-09-28,132.61,Defective
565,5498,2023-02-24,177.64,Defective
566,3279,2023-07-07,70.52,Changed Mind
567,21222,2023-08-13,186.56,Wrong Item
568,43487,2023-09-24,35.63,Changed Mind
569,6931,2023-09-21,159.49,Defective
570,52000,2023-09-05,63.23,Wrong Item
571,16457,2023-03-20,131.18,Wrong Item
572,15679,2023-12-06,64.98,Defective
573,20837,2023-06-28,181.45,Wrong Item
574,54251,2023-01-21,89.76,Wrong Item
575,55657,2023-05-14,164.75,Defective
576,11182,2023-05-02,94.43,Wrong Item
577,15633,2023-06-28,37.26,Defective
578,52647,2023-09-29,110.16,Changed Mind
579,12223,2023-09-18,158.96,Defective
580,46833,2023-09-27,110.25,Changed Mind
581,60584,2023-08-30,149.63,Changed Mind
582,26769,2023-01-25,197.2,Defective
583,11407,2023-06-21,155.39,Wrong Item
584,30232,2023-05-18,170.92,Changed Mind
585,6657,2023-01-01,27.93,Changed Mind
586,38380,2023-12-27,152.05,Defective
587,53498,2023-11-13,94.32,Changed Mind
588,56909,2023-10-20,179.32,Wrong Item
589,37581,2023-07-14,111.43,Changed Mind
590,31811,2023-09-17,26.68,Defective
591,48303,2023-03-06,198.12,Defective
592,22441,2023-02-24,22.2,Wrong Item
593,54397,2023-07-12,188.75,Defective
594,39997,2023-08-08,90.43,Wrong Item
595,31736,2023-12-16,56.47,Changed Mind
596,6913,2023-03-12,15.5,Defective
597,55674,2023-03-23,40.34,Changed Mind
598,46273,2023-03-01,31.93,Changed Mind
599,60639,2023-06-16,48.07,Changed Mind
600,10132,2023-10-09,161.68,Wrong Item
601,36980,2023-09-02,95.22,Changed Mind
602,5998,2023-11-27,57.87,Changed Mind
603,33631,2023-06-22,18.52,Wrong Item
604,23121,2023-10-25,151.34,Defective
605,50326,2023-01-31,143.01,Changed Mind
606,52425,2023-10-09,27.5,Wrong Item
607,29753,2023-02-15,147.35,Wrong Item
608,3191,2023-12-23,181.8,Defective
609,20918,2023-09-24,21.87,Wrong Item
610,55200,2023-01-28,190.96,Defective
611,23223,2023-10-02,197.23,Wrong Item
612,54681,2023-12-28,55.2,Changed Mind
613,39149,2023-11-15,130.89,Wrong Item
614,26484,2023-12-04,128.73,Wrong Item
615,3929,2023-06-16,40.85,Wrong Item
616,3526,2023-12-02,156.83,Wrong Item
617,24740,2023-11-05,112.41,Changed Mind
618,58741,2023-03-06,171.45,Changed Mind
619,60558,2023-10-09,156.22,Defective
620,6496,2023-09-06,149.67,Wrong Item
621,35916,2023-08-17,91.06,Wrong Item
622,41686,2023-09-23,109.38,Wrong Item
623,46473,2023-08-20,62.87,Changed Mind
624,53394,2023-04-01,149.71,Changed Mind
625,46136,2023-07-10,12.61,Changed Mind
626,59076,2023-08-14,174.1,Wrong Item
627,7360,2023-11-06,185.36,Defective
628,53248,2023-04-04,142.58,Wrong Item
629,55021,2023-11-16,162.8,Wrong Item
630,48762,2023-11-18,137.28,Changed Mind
631,10677,2023-07-20,131.2,Defective
